title,author,score,pages,year,genre,desc,reviews,url
The Fall,Albert Camus,"9,637",147,1956,"Fiction,Philosophy,France,Literature,French Literature,Novels,Classics","Jean-Baptiste Clamence is a soul in turmoil. Over several drunken nights in an Amsterdam bar, he regales a chance acquaintance with his story. From this successful former lawyer and seemingly model citizen a compelling, self-loathing catalogue of guilt, hypocrisy and alienation pours forth.","6,152",/book/show/11991.The_Fall
The Wind-Up Bird Chronicle,Haruki Murakami,"53,824",607,1994,"Fiction,Magical Realism,Japanese Literature,Fantasy,Contemporary,Novels,Literature","Japan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II. ","19,818",/book/show/11275.The_Wind_Up_Bird_Chronicle
Collected Fictions,Jorge Luis Borges,"5,677",565,1998,"Fiction,Short Stories,Classics,Literature,Fantasy,Magical Realism,Philosophy","Jorge Luis Borges has been called the greatest Spanish-language writer of our century. Now for the first time in English, all of Borges' dazzling fictions are gathered into a single volume, brilliantly translated by Andrew Hurley. From his 1935 debut with ","1,218",/book/show/17961.Collected_Fictions
"Redwall (Redwall, #1)",Brian Jacques,"5,677",416,1986,"Fantasy,Fiction,Young Adult,Childrens,Animals,Middle Grade,Adventure","Redwall Abbey, tranquil home to a community of peace-loving mice, is threatened by Cluny the Scourge savage bilge rat warlord and his battle-hardened horde. But the Redwall mice and their loyal woodland friends combine their courage and strength.","5,149",/book/show/7996.Redwall
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,"9,637",437,1972,"Nonfiction,Memoir,Animals,Classics,Biography,Autobiography,Biography Memoir",The classic multimillion copy bestseller,"7,050",/book/show/32085.All_Creatures_Great_and_Small
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"53,824",491,1990,"Fantasy,Fiction,Humor,Audiobook,Comedy,Urban Fantasy,Science Fiction Fantasy","According to the Nice and Accurate Prophecies of Agnes Nutter - the world's only totally reliable guide to the future - the world will end on a Saturday. Next Saturday, in fact. Just after tea...","40,162",/book/show/12067.Good_Omens
The Sun Also Rises,Ernest Hemingway,"998,587",189,1926,"Classics,Fiction,Literature,Novels,Historical Fiction,American,Spain","The quintessential novel of the Lost Generation, ","18,847",/book/show/3876.The_Sun_Also_Rises
The Firm,John Grisham,"18,805",76,1991,"Fiction,Thriller,Mystery,Crime,Suspense,Mystery Thriller,Legal Thriller","Mitch McDeere is a young, intelligent and ambitious lawyer. When he gets a job with a top tax law firm in Memphis, he is delighted. But he quickly becomes suspicious after mysterious deaths, obsessive office security, and the Chicago mob figure into its operations. The situation only escalates when Mitch discovers that the firm is listening in on his phone calls and that the FBI want to speak to him. Money and power has a price — and it could be Mitch's life.","3,781",/book/show/5358.The_Firm
The Gulag Archipelago 1918–1956,Aleksandr Solzhenitsyn,"9,637",512,1973,"History,Nonfiction,Classics,Russia,Politics,Biography,Russian Literature","Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression—the state within the state that ruled all-powerfully. Through truly Shakespearean portraits of its victims—men, women, and children—we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. ","2,241",/book/show/70561.The_Gulag_Archipelago_1918_1956
Ulysses,James Joyce,"998,587",783,1922,"Fiction,Literature,Classics,Novels,Ireland,Irish Literature,20th Century","Ulysses is a modernist novel by Irish writer James Joyce. It was first serialized in parts in the American journal The Little Review from March 1918 to December 1920 and then published in its entirety in Paris by Sylvia Beach on 2 February 1922, Joyce's 40th birthday. It is considered one of the most important works of modernist literature and has been called ""a demonstration and summation of the entire movement."" ","9,363",/book/show/338798.Ulysses
